Cat,Single measure core date,reviewed,Modality,no,Item,Description,ItemType,Required,Values,AMP_PD_item,conversion,Comment
0,1,,Base,1,participant_id,participant's ID,string,required,,participant_id,identical,
0,0,,Base,2,visit_name,"visit name: screening, baseline, V01, V02 etc. baseline is when the participants were enrolled",string,required,,visit_name,identical,
0,0,,Base,3,visit_month,"month from baseline visit (longitudinal study. Negative value is possible for screening visits), rounded integer",integer,nullable,(y>=-1200) & (y<=1200),visit_month,identical,planned month rather than the actual month in AMP-PD
added,0,,Base,,date_visit,date of visit in UNIX DATE (days from 1970-01-01),numeric,nullable,(y>= -21914 ) & (y<=51535),,,
added,1,,Base,,date_baseline,date of baseline in UNIX DATE (days from 1970-01-01),numeric,nullable,(y>= -21914 ) & (y<=51535),,,
0,1,,Base,4,age_at_baseline,age at baseline visit,numeric,nullable,(y>=0) & (y<=125),age_at_baseline,identical,
name changed,1,,Demographics,1,date_enrollment,date of enrollment (YYYY/MM),string,nullable,,,,
0,1,,Demographics,2,date_birth,NINDS CDE for Parkinson's Disease: Date of Birth (Unix date),numeric,nullable,(y>= -21914 ) & (y<=51535),,,maybe not allowed to store.
required,1,,Demographics,3,sex,NINDS CDE for Parkinson's Disease: Sex assigned at birth,string,required,"[""Male"", ""Female"", ""Intersex"", ""Unknown"", ""Other"", ""Not Reported""]",sex,convertible,
required,1,,Demographics,4,ethnicity,NINDS CDE for Parkinson's Disease: Ethnicity,string,required,"[""Hispanic or Latino"", ""Not Hispanic or Latino"", ""Unknown"", ""Not Reported""]",ethnicity,convertible,
"typo, other, AJ..",1,,Demographics,5,race,NINDS CDE for Parkinson's Disease: Race category +,string,required,"[""American Indian or Alaska Native"", ""Asian"", ""White"", ""Black or African American"", ""Multi-racial"", ""Native Hawaiian or Other Pacific Islander"", ""Other"", ""Unknown"", ""Not Reported""]",race,convertible,
0,1,,Demographics,6,education_years,NINDS CDE for Parkinson's Disease: Number of years of education,numeric,nullable,(y>=0) & (y<=40),education_level_years,convertible,
added,1,,Demographics,7,education_level,Derived value for level of education,string,nullable,"[""<High School"", ""High School/GED"", ""Some college without degree"", ""Associate degree college"", ""Bachelor's degree"", ""Master's degree"", ""Professional or doctoral degree"", ""Refuse"", ""Other""]",,,
0,1,,Family history,1,family_hx_1st,Did your parents or full-sibling have Parkinson's disease?,string,nullable,"[""Yes"", ""No""]",,,"biological_mother_with_pd, biological_father_with_pd, other_relative_with_pd are available in AMP-PD"
0,1,,Family history,2,family_hx_2nd,"Did your parents, grand parents, full/half-siblings, uncles, aunts have Parkinson's disease?",string,nullable,"[""Yes"", ""No""]",,,
0,1,,Family history,3,family_hx_generations,Are there any people in your relatives with Parkinson's disease more than one generation?,string,nullable,"[""Yes"", ""No""]",,,
0,1,,Family history,4,family_hx_n_of_PD,How many people in the family including the proband are affected with PD,numeric,nullable,(y>=0) & (y<=100),,,
0,1,,Enrollment Category,1,study_arm,"Study Arm: case/contro/positive control/affected/unaffected, placebo/control. etc should be defined at enrollment",string,required,,study_arm,identical,
added,1,,Enrollment Category,1,Phenotype,Phenotype for sample sheet (basically derived from study_arm),string,required,"[""PD"", ""Control"", ""Prodromal"", ""Other"", ""Not Reported""]",,,
changed,1,,Diagnosis,1,primary_diagnosis,Most likely primary diagnosis (baseline),string,nullable,"[""Idiopathic PD"", ""Alzheimer’s disease"", ""Frontotemporal dementia"", ""Corticobasal syndrome"", ""Dementia with Lewy bodies"", ""Dopa-responsive dystonia"", ""Essential tremor"", ""Hemiparkinson/hemiatrophy syndrome"", ""Juvenile autosomal recessive parkinsonism"", ""Motor neuron disease with parkinsonism"", ""Multiple system atrophy"", ""Neuroleptic-induced parkinsonism"", ""Normal pressure hydrocephalus"", ""Progressive supranuclear palsy"", ""Psychogenic parkinsonism"", ""Vascular parkinsonism"", ""No PD nor other neurological disorder"", ""Spinocerebellar Ataxia (SCA)"", ""Prodromal non-motor PD"", ""Prodromal motor PD"", ""Other neurological disorder""]",,,
1,1,,Diagnosis,2,primary_diagnosis_text,"If ""97:Other neurological disorders(s) (specify)"" please specify here (baseline)",string,nullable,,,,
1,1,,Diagnosis,3,code_primary_diagnosis_confidence,What is your percent confidence in your most likely primary diagnosis? (baseline),string,nullable,"['""0-25%"",  ""26-50%"",  ""51-75%"", ""76-100%""]",,,
added,1,,Diagnosis,4,last_diagnosis,Lastest diagnosis or autopsy diagnosis,string,nullable,"[""Idiopathic PD"", ""Alzheimer’s disease"", ""Frontotemporal dementia"", ""Corticobasal syndrome"", ""Dementia with Lewy bodies"", ""Dopa-responsive dystonia"", ""Essential tremor"", ""Hemiparkinson/hemiatrophy syndrome"", ""Juvenile autosomal recessive parkinsonism"", ""Motor neuron disease with parkinsonism"", ""Multiple system atrophy"", ""Neuroleptic-induced parkinsonism"", ""Normal pressure hydrocephalus"", ""Progressive supranuclear palsy"", ""Psychogenic parkinsonism"", ""Vascular parkinsonism"", ""No PD nor other neurological disorder"", ""Spinocerebellar Ataxia (SCA)"", ""Prodromal non-motor PD"", ""Prodromal motor PD"", ""Other neurological disorder""]",,,
,1,,Diagnosis,5,visit_month_of_last_diagnosis,Months from the baseline to the visit confirming the latest diagnosis (or the date of death when path confirmed),numeric,nullable,(y>=-1200) & (y<=1200),,,
added,1,,Diagnosis,6,diagnosis_change,Had the diagnosis changed during the follow-up? (Mostly important for prodromal cohort),string,nullable,"[""Yes"", ""No""]",,,
added,1,,Diagnosis,7,visit_month_diagnosis_change,Months from the baseline to the change of diagnosis (to the latest diagnosis),numeric,nullable,(y>=-1200) & (y<=1200),,,
added,1,,Diagnosis,3,code_last_diagnosis_confidence,What is your percent confidence in your most likely last diagnosis?,string,nullable,"['""0-25%"",  ""26-50%"",  ""51-75%"", ""76-100%""]",,,
added,1,,Diagnosis,8,handedness,Right handedness or left handedness?,string,nullable,"[""Right"", ""Left"", ""Mixed""]",,,
added,1,,Diagnosis,9,dominant_side,Side predominantly affected at onset,string,nullable,"[""Right"", ""Left"", ""Symmetric""]",,,
added,1,,Known_relatedness,1,related_individuals_reported,"{id: relationship). e.g. {""id-011"": ""Mother"", ""id-012"":""Father"", ""id-019"":Full-sibling}",string,nullabe,,,,
