Study Arm,N,N_OBS,Mean BL Age,Median BL DurDx,FU Time,Visit Date,Family History,Vital,UPDRS,MoCA,SCOPA-COG,RBDSQ,ESS,PDQ39,Depression,Olfactory
BIOFIND_PD,126,126,68.5(6.4),"6.2[4.8,9.4]",,X,X,X,X,X, ,X, , , , 
BIOFIND_Control,106,106,66.6(7.5),"6.2[4.8,9.4]",,X,X,X,X,X, ,X, , , , 
LS1_PD,1741,14761,61.7(9.4),"1.3[0.7,2.1]",4.3321799307958475,X,X,X, , ,X, , ,X,X, 
PDBP_233_OTH,126,345,70.0(6.7),"2.0[0.7,5.4]",1.0793650793650793,X,X,X,X,X, , ,X,X,X, 
PDBP_232_OTH,36,109,71.8(7.5),"2.0[0.7,5.4]",1.3333333333333333,X,X,X,X,X, , ,X,X,X, 
PDBP_229_OTH,14,24,68.6(8.2),"2.0[0.7,5.4]",0.5714285714285714,X,X,X,X,X, , ,X,X,X, 
PDBP_224_HC,62,88,64.9(8.7),"2.0[0.7,5.4]",0.737231182795699,X,X,X,X,X, , ,X,X,X, 
PDBP_224_PD,75,120,66.1(8.9),"2.0[0.7,5.4]",0.7055555555555556,X,X,X,X,X, , ,X,X,X, 
PDBP_236_OTH,65,165,69.5(8.8),"2.0[0.7,5.4]",0.9307692307692307,X,X,X,X,X, , ,X,X,X, 
PDBP_232_NR,8,13,72.5(2.7),"2.0[0.7,5.4]",0.4375,X,X,X,X,X, , ,X,X,X, 
PDBP_236_NR,7,8,72.1(7.7),"2.0[0.7,5.4]",0.07142857142857142,X,X,X,X,X, , ,X,X,X, 
PDBP_233_NR,6,7,74.0(7.1),"2.0[0.7,5.4]",0.16666666666666666,X,X,X,X,X, , ,X,X,X, 
PDBP_233_PD,4,11,68.2(9.8),"2.0[0.7,5.4]",1.0,X,X,X,X,X, , ,X,X,X, 
PDBP_231_OTH,32,82,70.9(6.5),"2.0[0.7,5.4]",0.890625,X,X,X,X,X, , ,X,X,X, 
